danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,retro
0.591,0.764,1,-5.484,0.0483,0.0383,0,0.103,0.478,169.928,4,False
0.741,0.691,10,-7.395,0.0672,0.0221,0,0.0476,0.892,150.087,4,False
0.761,0.525,11,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,False
0.762,0.766,7,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,4,False
0.808,0.897,11,-3.712,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,4,False
0.588,0.701,9,-6.39,0.0402,0.00813,0,0.2,0.443,104.988,4,False
0.824,0.764,5,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,4,False
0.788,0.859,2,-2.724,0.0856,0.281,0,0.0424,0.822,141.02,4,False
0.727,0.739,8,-3.805,0.0411,0.365,0.00137,0.161,0.533,93.005,4,False
0.737,0.846,1,-4.51,0.22,0.00614,0,0.0486,0.546,87.981,4,False
0.563,0.664,9,-5.044,0.154,0.335,0,0.0849,0.688,166.928,4,False
0.714,0.8,11,-4.808,0.0504,0.127,0,0.359,0.589,134.002,4,False
0.593,0.503,8,-6.725,0.22,0.293,0,0.405,0.71,178.781,4,False
0.796,0.798,1,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,4,False
0.7,0.49,0,-5.187,0.076,0.186,0,0.117,0.569,79.982,4,False
0.831,0.554,1,-9.998,0.218,0.161,6.12e-05,0.152,0.396,140.026,4,False
0.579,0.596,8,-4.823,0.0561,0.436,0.0938,0.0549,0.443,119.9,3,False
0.664,0.609,1,-6.509,0.0707,0.304,0,0.0926,0.194,130.041,4,False
0.332,0.225,0,-8.697,0.0348,0.767,0.00349,0.128,0.297,81.055,3,False
0.764,0.705,8,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,4,False
0.803,0.597,11,-6.035,0.141,0.000619,4.5e-06,0.323,0.331,136.008,4,False
0.644,0.648,1,-4.601,0.118,0.276,0,0.135,0.44,179.951,4,False
0.78,0.719,3,-3.613,0.0506,0.302,0.000196,0.0931,0.336,127.962,4,False
0.38,0.339,3,-7.885,0.0338,0.691,0,0.12,0.0849,100.607,4,False
0.702,0.825,6,-3.787,0.0601,0.00883,0,0.0674,0.915,102.977,4,False
0.666,0.465,1,-8.545,0.26,0.0503,0,0.215,0.292,167.937,4,False
0.849,0.424,5,-9.579,0.324,0.0635,0,0.0834,0.153,145.887,4,False
0.725,0.86,1,-3.726,0.182,0.422,0.000284,0.0674,0.791,175.896,4,False
0.924,0.723,8,-3.142,0.0466,0.0177,2.61e-05,0.113,0.643,126.998,4,False
0.677,0.696,0,-6.181,0.119,0.321,0,0.42,0.464,90.03,4,False
0.773,0.47,2,-7.93,0.0299,0.0153,0.000193,0.0851,0.399,94.995,4,False
0.514,0.73,1,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4,False
0.747,0.739,8,-6.008,0.0487,0.0106,2.22e-05,0.101,0.523,120.996,4,False
0.903,0.817,8,-3.972,0.095,0.0272,0.000311,0.242,0.732,102.014,4,False
0.806,0.653,8,-6.283,0.0902,0.0282,0.000784,0.107,0.85,150.058,4,False
0.65,0.825,0,-4.645,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,4,False
0.75,0.608,1,-4.008,0.0387,0.00165,0,0.178,0.958,132.507,4,False
0.561,0.431,10,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875,4,False
0.671,0.636,6,-8.117,0.103,0.515,0.000411,0.172,0.262,120.966,4,False
0.77,0.787,11,-3.748,0.0583,0.198,0,0.262,0.513,119.986,4,False
0.829,0.512,6,-5.865,0.187,0.492,0,0.12,0.638,80.511,4,False
0.767,0.438,7,-8.726,0.29,0.181,0,0.142,0.381,86.975,4,False
0.765,0.625,9,-3.599,0.0548,0.584,0.00111,0.112,0.262,102.101,4,False
0.912,0.655,8,-6.029,0.162,0.315,3.39e-05,0.0894,0.793,91.942,4,False
0.759,0.459,8,-5.187,0.0948,0.00323,0,0.0906,0.695,109.997,4,False
0.587,0.561,0,-6.569,0.146,0.0466,0,0.109,0.351,80.009,4,False
0.762,0.77,5,-2.758,0.223,0.138,0,0.15,0.631,177.998,4,False
0.787,0.833,8,-4.403,0.0478,0.018,0.00747,0.0374,0.796,123.97,4,False
0.759,0.842,8,-3.758,0.096,0.101,0,0.134,0.584,105.059,4,False
0.743,0.655,6,-5.015,0.159,0.114,0,0.0764,0.785,172.031,4,False
0.726,0.698,5,-4.165,0.0431,0.049,0,0.309,0.867,143.994,4,False
0.554,0.669,11,-6.041,0.0426,0.00108,0,0.138,0.405,91.993,4,False
0.685,0.466,0,-9.074,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,4,False
0.602,0.843,0,-4.831,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,4,False
0.712,0.799,5,-3.44,0.0329,0.0463,0,0.0836,0.7,93.015,4,False
0.592,0.792,0,-5.884,0.0335,0.0215,0,0.159,0.293,121.001,4,False
0.781,0.526,6,-6.985,0.293,0.0619,0,0.0457,0.662,94.992,4,False
0.784,0.621,5,-7.399,0.0561,0.0442,0.00019,0.132,0.504,130.018,4,False
0.482,0.706,9,-5.762,0.0609,0.135,0.00106,0.105,0.144,92.494,4,False
0.612,0.84,11,-3.145,0.0509,0.112,0,0.116,0.438,129.042,4,False
0.455,0.786,1,-5.16,0.0338,0.0234,0,0.145,0.416,103.172,4,False
0.485,0.735,1,-5.929,0.0334,0.01,0.00794,0.213,0.456,131.234,4,False
0.79,0.721,7,-6.293,0.0569,0.0294,0.59,0.144,0.871,150.048,4,False
0.46,0.803,9,-3.518,0.0567,0.114,7.47e-05,0.225,0.236,136.195,4,False
0.388,0.694,5,-5.769,0.0735,0.118,0.000293,0.082,0.365,145.434,5,False
0.691,0.946,9,-3.221,0.0678,0.0259,0,0.0897,0.517,124.021,4,False
0.657,0.679,2,-5.511,0.0269,0.00246,0,0.211,0.331,120.007,4,False
0.68,0.643,5,-7.397,0.0526,0.132,0,0.247,0.237,93.026,4,False
0.499,0.776,8,-4.793,0.0682,0.0726,0,0.281,0.526,173.979,4,False
0.778,0.547,2,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,4,False
0.735,0.542,8,-6.244,0.0829,0.0304,0,0.107,0.299,151.529,4,False
0.762,0.857,0,-3.574,0.056,0.0195,0,0.182,0.967,105.989,4,False
0.612,0.28,0,-8.648,0.0434,0.932,0,0.088,0.387,72.795,4,False
0.344,0.509,5,-6.607,0.0722,0.24,0,0.083,0.529,76.004,4,False
0.641,0.922,2,-4.457,0.0786,0.0291,0,0.0862,0.847,146.078,4,False
0.668,0.758,7,-3.589,0.158,0.0338,0,0.204,0.531,135.958,4,False
0.75,0.709,2,-5.231,0.111,0.241,0,0.111,0.539,142.046,4,False
0.71,0.875,5,-2.672,0.128,0.3,0,0.0645,0.843,82.508,4,False
0.662,0.74,7,-6.558,0.0382,0.00248,0.000986,0.0625,0.649,104.007,4,False
0.548,0.788,7,-4.115,0.0495,0.00905,0.000167,0.0966,0.576,80.047,4,False
0.794,0.811,6,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,4,False
0.561,0.836,9,-3.939,0.1,0.0525,0,0.136,0.517,127.923,4,False
0.675,0.792,1,-6.303,0.0368,0.145,0,0.12,0.395,120.016,4,False
0.655,0.819,0,-4.852,0.0316,0.000176,0.00374,0.104,0.766,117.956,5,False
0.516,0.806,2,-5.133,0.0538,0.00389,0.000674,0.115,0.577,124.118,4,False
0.667,0.791,7,-4.329,0.0319,0.00778,1.19e-05,0.415,0.421,89.956,4,False
0.663,0.712,1,-4.945,0.0381,0.0649,0,0.119,0.48,122.014,4,False
0.505,0.71,3,-3.015,0.0321,0.19,0.00025,0.329,0.428,89.938,4,False
0.668,0.778,7,-4.302,0.0506,0.0278,1.24e-06,0.108,0.733,139.938,4,False
0.479,0.545,7,-7.346,0.0688,0.365,0,0.0963,0.244,74.897,4,False
0.797,0.608,6,-6.096,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999,4,False
0.611,0.678,3,-6.723,0.243,0.00701,8.43e-06,0.431,0.493,137.864,4,False
0.743,0.807,1,-3.78,0.0364,0.0435,0,0.309,0.899,144.062,4,False
0.421,0.873,10,-4.343,0.0564,0.0654,0,0.123,0.629,84.786,4,False
0.802,0.68,5,-6.846,0.162,0.145,3.24e-05,0.449,0.482,103.007,4,False
0.562,0.939,0,-4.282,0.0475,0.046,0,0.112,0.684,116.044,4,False
0.791,0.619,1,-5.886,0.0532,0.00784,0.00423,0.351,0.371,103.989,4,False
0.694,0.712,7,-3.923,0.046,0.133,0,0.211,0.799,98.022,4,False
